id,host_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,city,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
8473851,470,within a few hours,100%,91%,0,1,1,Roslindale,Boston,House,Private room,2,2,1,1,Real Bed,50,0,0,1,10,2,99,10,10,10,10,9,10,0,flexible,1.23
3575220,1021,within a few hours,100%,94%,1,3,1,Roslindale,Boston,House,Private room,1,2.5,1,1,Real Bed,45,0,0,1,0,2,97,10,9,10,10,9,10,0,flexible,0.33
1591827,1222,within an hour,100%,67%,0,1,1,Roslindale,Roslindale,House,Private room,2,1,1,1,Real Bed,60,0,0,2,50,2,92,10,10,10,10,9,9,0,moderate,3.22
3229255,943,within a few hours,90%,94%,1,1,1,Roslindale,Boston,Apartment,Entire home/apt,3,1,1,1,Real Bed,95,1,1,1,0,1,99,10,10,10,10,10,10,0,strict,2.07
1721016,1256,within a few hours,77%,89%,0,2,0,Roslindale,Boston,Apartment,Entire home/apt,2,1,0,1,Real Bed,89,1,1,2,39,3,100,10,10,10,10,10,10,0,strict,0.12
12535687,642,N/A,,,0,1,0,Roslindale,Boston,Apartment,Entire home/apt,3,1,0,2,Real Bed,110,0,1,1,25,2,,,,,,,,0,flexible,
12994227,1217,within a few hours,100%,100%,0,1,1,Roslindale,Boston,Condominium,Private room,2,1,1,1,Pull-out Sofa,65,0,1,1,15,1,,,,,,,,0,flexible,
12927298,257,within an hour,100%,100%,0,1,1,Roslindale,Boston,House,Entire home/apt,7,2,3,3,Real Bed,285,1,1,5,25,3,80,10,10,10,10,8,6,0,strict,1.15
169938,2000,within a day,50%,100%,0,1,0,Jamaica Plain,Boston,Apartment,Entire home/apt,4,1,1,1,Real Bed,140,0,1,4,0,3,,,,,,,,0,moderate,1
594693,1723,within an hour,100%,100%,0,2,0,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,70,0,1,1,10,2,93,9,8,10,10,10,9,0,strict,0.46
2384581,1057,within a day,93%,73%,0,2,1,Jamaica Plain,Boston,House,Private room,2,1,1,1,Real Bed,95,0,0,1,20,1,93,9,9,10,10,10,9,0,flexible,0.46
735970,1543,N/A,,,0,1,0,Jamaica Plain,Boston,Bed & Breakfast,Private room,2,1,1,1,Real Bed,55,0,0,1,0,300,100,10,9,9,9,10,10,0,flexible,0.06
4262255,826,within a few hours,100%,89%,1,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,80,0,0,1,0,2,99,10,10,10,10,10,10,0,moderate,2.48
4000384,1098,within a day,70%,85%,0,2,1,Jamaica Plain,Boston,House,Private room,2,1,1,1,Real Bed,120,0,0,1,0,2,97,10,10,10,10,9,10,0,flexible,2.36
6693305,992,within a few hours,100%,89%,1,4,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,65,0,0,1,0,1,100,10,8,10,10,10,10,0,flexible,0.07
6730758,2326,within an hour,100%,100%,1,1,1,Jamaica Plain,Boston,Apartment,Private room,4,1,1,2,Real Bed,100,0,0,2,20,2,97,10,10,10,10,9,10,0,moderate,3.03
6248970,610,within an hour,100%,100%,1,1,0,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,65,0,0,1,0,3,96,10,9,10,10,9,10,0,moderate,4.29
12806707,1496,within a few hours,71%,100%,0,1,1,Jamaica Plain,Boston,House,Private room,1,1,1,1,Real Bed,60,0,0,1,0,2,,,,,,,,0,flexible,
14246616,1420,a few days or more,36%,93%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,63,0,0,1,0,2,73,9,5,10,10,9,9,0,flexible,2.73
3703674,1179,within a few hours,100%,50%,0,1,0,Jamaica Plain,Boston,Townhouse,Private room,2,1,1,1,Real Bed,75,1,0,1,0,1,100,9,10,10,9,10,9,0,flexible,0.62
4792901,753,N/A,,,0,1,0,Jamaica Plain,Boston,House,Private room,2,1,1,1,Real Bed,65,0,1,1,25,1,90,9,9,9,9,10,9,0,strict,0.16
5717528,1271,within a day,100%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,110,0,0,1,0,1,94,10,10,10,9,9,9,0,strict,0.48
5601743,884,within a few hours,73%,100%,0,4,1,Jamaica Plain,Boston,House,Private room,2,1,1,1,Real Bed,46,1,1,2,25,2,82,8,7,9,9,9,8,1,strict,1.46
13333862,1407,within a day,60%,60%,0,2,1,Jamaica Plain,Boston,Apartment,Private room,3,1,1,1,Real Bed,75,1,1,1,0,2,,,,,,,,0,strict,
519272,1684,N/A,,,0,1,0,Jamaica Plain,Boston,Apartment,Private room,2,1.5,1,1,Real Bed,62,1,1,2,50,3,98,10,10,10,10,10,10,0,moderate,0.31
14090779,1346,within a day,100%,25%,0,2,1,Jamaica Plain,Boston,Condominium,Private room,2,1.5,1,1,Real Bed,69,1,1,1,12,2,,,,,,,,0,flexible,
8481291,1236,N/A,,,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,69,0,1,1,15,2,100,10,10,10,10,10,10,0,moderate,0.36
6990904,558,within a day,50%,100%,0,2,1,Jamaica Plain,Boston,House,Private room,2,2,1,1,Real Bed,73,0,1,1,0,1,99,10,9,10,10,9,10,0,moderate,1.35
197727,1968,within a few hours,100%,75%,0,1,0,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,85,0,0,1,20,2,99,10,10,10,10,10,10,0,strict,0.36
932853,1422,within a few hours,100%,56%,1,4,1,Jamaica Plain,Jamaica Plain,Apartment,Private room,2,2,1,1,Real Bed,120,1,1,1,20,1,96,9,10,10,10,10,9,0,strict,0.41
11159585,331,within a few hours,100%,100%,0,1,1,Jamaica Plain,Boston,House,Private room,2,3.5,1,2,Real Bed,125,1,0,1,25,2,100,10,10,10,10,10,10,0,flexible,0.21
9677354,2148,within a day,60%,88%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Pull-out Sofa,70,0,0,1,0,1,93,10,9,10,10,10,9,0,flexible,1.35
13426831,917,within an hour,100%,0%,0,1,0,Jamaica Plain,Boston,Condominium,Private room,2,1,1,1,Real Bed,100,1,1,1,0,1,,,,,,,,0,flexible,
7956634,1236,within a day,67%,100%,0,1,1,Jamaica Plain,Boston,Condominium,Private room,2,1,1,1,Real Bed,61,0,1,1,0,1,97,10,10,10,10,10,10,0,moderate,0.78
568234,1645,within an hour,100%,76%,0,2,1,Jamaica Plain,Boston,House,Private room,4,1,1,2,Real Bed,125,0,0,2,50,1,97,10,10,10,10,10,10,0,strict,2.61
1030500,1375,within a few hours,100%,100%,0,1,0,Jamaica Plain,Jamaica Plain,Apartment,Private room,2,1,1,1,Real Bed,100,0,0,1,0,1,88,9,9,10,10,8,9,0,flexible,0.35
13652374,685,a few days or more,33%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,27,0,1,1,0,1,,,,,,,,0,flexible,
12930651,1381,within a few hours,90%,92%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,80,0,0,1,0,2,98,10,9,10,10,10,10,0,flexible,3.91
3997572,1773,within an hour,100%,57%,0,1,1,Jamaica Plain,Boston,House,Private room,2,1,1,1,Real Bed,85,0,0,1,0,1,100,10,10,10,10,9,9,0,flexible,0.12
4223387,1373,within an hour,100%,74%,0,1,0,Jamaica Plain,Boston,House,Private room,3,1,1,2,Real Bed,75,0,0,1,25,1,91,9,10,10,10,9,9,0,flexible,1.83
12855396,950,within a few hours,78%,82%,0,6,1,Jamaica Plain,Boston,House,Private room,1,1,1,1,Real Bed,57,0,0,1,0,7,20,10,10,10,10,2,6,0,flexible,0.44
12426823,914,N/A,,,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,100,0,0,1,0,1,,,,,,,,0,moderate,
14361322,888,within a day,86%,100%,0,1,0,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,40,0,1,1,0,1,,,,,,,,0,flexible,
2963419,972,within a day,67%,100%,0,1,1,Jamaica Plain,Boston,House,Private room,1,1,1,1,Real Bed,100,0,1,1,0,4,98,10,10,10,10,10,10,0,strict,0.71
5904732,1963,within a day,100%,56%,0,3,1,Jamaica Plain,Boston,House,Private room,2,2.5,1,1,Real Bed,70,1,1,1,0,1,93,10,10,10,10,9,10,0,flexible,0.53
3591359,1162,within an hour,100%,89%,1,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,4,1,2,2,Real Bed,190,0,0,2,15,4,95,10,9,10,10,9,10,0,moderate,1.43
2538536,950,within a few hours,86%,100%,0,1,1,Jamaica Plain,Brookline,Apartment,Entire home/apt,3,1,1,1,Real Bed,149,0,1,1,0,7,95,9,9,10,10,10,10,0,flexible,0.59
4975581,1030,within an hour,90%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,6,1,2,2,Real Bed,168,1,1,1,0,3,94,9,10,10,10,9,9,0,moderate,2.57
4767023,756,within a few hours,100%,93%,0,2,1,Jamaica Plain,Boston,House,Entire home/apt,5,2,3,4,Real Bed,205,0,1,1,0,2,87,10,9,10,10,8,9,0,moderate,0.7
6364042,1963,within a day,100%,56%,0,3,1,Jamaica Plain,Boston,House,Private room,2,2.5,1,1,Real Bed,65,1,1,1,0,1,92,9,9,9,10,9,9,0,flexible,1.32
7986179,499,within a few hours,80%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,2,1,1,1,Futon,75,0,1,1,0,1,92,10,9,10,10,9,10,0,flexible,1.5
14109003,816,N/A,,,0,1,1,Jamaica Plain,Boston,Condominium,Entire home/apt,4,1,2,4,Real Bed,117,0,1,1,0,1,,,,,,,,1,flexible,
1109224,1836,within an hour,100%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,8,2,4,6,Real Bed,429,1,0,6,15,3,91,10,9,9,10,9,9,0,strict,0.95
1067184,1991,within a day,90%,62%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,95,0,0,1,10,2,95,9,9,10,9,10,9,0,flexible,1.32
13215952,875,within a day,80%,90%,0,2,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,69,0,1,1,0,1,,,,,,,,0,flexible,
777903,1514,within an hour,90%,69%,0,1,1,Jamaica Plain,Boston,House,Private room,2,,1,1,Real Bed,85,0,0,1,0,1,94,10,9,10,10,10,10,0,moderate,0.43
1301500,1569,within a few hours,100%,100%,1,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Futon,69,0,1,1,15,3,100,10,10,10,10,10,10,0,strict,1.17
8923817,460,within a few hours,100%,77%,0,4,0,Jamaica Plain,Boston,House,Entire home/apt,2,1,1,1,Real Bed,165,1,0,1,0,2,93,9,10,10,10,10,9,0,flexible,0.85
14057466,643,within a few hours,100%,100%,0,1,0,Jamaica Plain,"Jamaica Plain, Boston",Apartment,Entire home/apt,4,1,2,2,Real Bed,150,1,1,4,50,5,90,10,10,10,10,10,9,0,flexible,1.67
14909417,118,N/A,,,0,1,1,Jamaica Plain,Boston,Condominium,Entire home/apt,7,1,4,4,Real Bed,267,1,1,6,0,1,,,,,,,,1,flexible,
5521378,727,within a few hours,100%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,87,1,1,1,25,2,97,10,10,10,10,9,10,0,moderate,0.41
13041602,231,within an hour,100%,100%,0,2,1,Jamaica Plain,Boston,Townhouse,Private room,2,1,1,1,Real Bed,62,0,0,1,0,2,96,10,10,10,10,9,10,1,strict,5.41
